Player;Pos;Comp;Shots;PasTotPrgDist;Assists;SCA;Tkl+Int;ToAtt
antonio candreva;DFMF;Serie A;1.28;262.5;0.06;2.85;1.34;0.84
pierrick capelle;MFDF;Ligue 1;1.1;195.4;0.22;1.76;4.18;1.32
etienne capoue;MF;La Liga;1.08;153.9;0.0;2.0;2.31;1.62
gianluca caprari;MFFW;Serie A;2.24;82.4;0.07;2.72;0.82;3.06
francesco caputo;FW;Serie A;1.87;30.93;0.11;1.82;0.27;0.86
maxence caqueret;MF;Ligue 1;0.98;250.6;0.18;4.05;4.11;2.02
isaac carcelen;DF;La Liga;0.34;200.5;0.0;1.37;4.7;0.85
carlos;DF;Serie A;1.28;212.5;0.15;1.59;2.21;1.74
carmona;MF;La Liga;1.03;200.51;0.11;2.27;3.98;1.94
yannick carrasco;DFMF;La Liga;2.59;137.8;0.0;3.52;2.13;3.8
dani carvajal;DF;La Liga;0.5;198.5;0.08;1.75;2.92;0.83
william carvalho;MF;La Liga;0.93;269.2;0.07;1.93;2.07;2.07
nicolo casale;DF;Serie A;0.48;319.2;0.07;0.55;2.81;0.07
casemiro;MF;Premier League;1.23;287.38;0.22;3.12;5.65;0.87
matty cash;DF;Premier League;0.53;240.9;0.0;1.82;3.79;1.21
timothy castagne;DF;Premier League;0.54;220.8;0.1;1.39;3.51;0.64
michele castagnetti;MF;Serie A;0.79;282.2;0.0;3.95;3.68;0.53
valentin castellanos;FW;La Liga;2.62;27.4;0.0;1.37;0.65;1.43
jean-charles castelletto;DF;Ligue 1;0.37;273.9;0.0;0.61;4.05;0.8
samu castillejo;FW;La Liga;2.71;126.8;0.0;3.36;2.34;4.49
jonny castro;DF;Premier League;0.71;282.0;0.0;1.5;3.54;2.48
danilo cataldi;MF;Serie A;0.39;286.3;0.06;1.94;2.52;0.77
catena;DF;La Liga;0.26;418.9;0.05;0.79;1.32;0.0
yoann cathline;FWMF;Ligue 1;2.79;78.5;0.16;2.46;2.46;5.57
maximiliano caufriez;DF;Ligue 1;0.39;272.1;0.0;0.52;2.86;0.52
edinson cavani;FW;La Liga;2.19;37.5;0.1;1.9;0.48;0.57
dani ceballos;MF;La Liga;0.95;357.9;0.16;5.08;4.29;3.33
federico ceccherini;DF;Serie A;0.43;226.3;0.0;0.96;2.43;0.17
assan ceesay;FW;Serie A;2.33;25.4;0.0;1.75;1.65;1.65
zeki celik;DF;Serie A;0.36;274.4;0.0;2.64;4.18;0.64
fabien centonze;DF;Ligue 1;0.61;290.6;0.0;1.59;5.0;3.41
franco cervi;MF;La Liga;1.16;113.6;0.14;2.53;5.27;2.12
fares chaibi;FWMF;Ligue 1;1.91;107.1;0.26;2.17;1.97;0.86
trevoh chalobah;DF;Premier League;0.46;280.9;0.0;0.46;2.69;0.37
brendan chardonnet;DF;Ligue 1;0.46;341.5;0.0;0.97;3.71;0.11
xavier chavalerin;MF;Ligue 1;1.07;199.5;0.13;1.73;4.2;0.87
rayan cherki;MFFW;Ligue 1;3.9;193.1;0.39;9.09;1.43;8.18
vlad chiriche?;DF;Serie A;0.0;293.6;0.0;0.61;6.06;0.15
pedro chirivella;MF;Ligue 1;0.79;278.1;0.06;2.09;2.43;0.62
joris chotard;MF;Ligue 1;0.28;208.5;0.07;1.48;3.59;0.85
andreas christensen;DF;La Liga;0.38;460.3;0.13;0.63;2.0;0.13
ryan christie;MFFW;Premier League;1.48;92.9;0.0;2.87;3.3;3.65
samuel chukwueze;FWMF;La Liga;2.14;86.1;0.18;3.75;1.52;6.61
victor chust;DF;La Liga;0.11;283.9;0.0;0.42;1.89;0.32
pathe ciss;MFDF;La Liga;1.57;213.3;0.0;1.27;4.61;0.59
patrick ciurria;DFMF;Serie A;1.67;175.4;0.29;2.68;1.59;1.38
alexis claude-maurice;FW;Ligue 1;1.93;73.96;0.35;2.81;2.64;3.5
jonathan clauss;DF;Ligue 1;1.76;226.1;0.5;4.03;2.39;2.33
carlos clerc;DFMF;La Liga;0.38;204.5;0.08;1.08;3.23;1.77
nathaniel clyne;DF;Premier League;0.0;230.1;0.0;1.12;2.69;0.75
conor coady;DF;Premier League;0.16;359.3;0.05;0.79;1.22;0.16
alexandre coeff;DF;Ligue 1;0.15;342.9;0.15;0.46;2.77;0.31
seamus coleman;DF;Premier League;0.32;204.8;0.0;0.95;2.84;1.68
alex collado;MF;La Liga;1.83;82.5;0.17;3.17;4.0;2.67
omar colley;DF;Serie A;0.39;263.7;0.0;0.32;2.6;0.13
nathan collins;DF;Premier League;0.06;348.2;0.0;0.49;2.5;0.43
lorenzo colombo;FW;Serie A;2.55;31.9;0.18;2.27;1.27;2.45
kingsley coman;FWMF;Bundesliga;3.13;126.9;0.36;5.66;0.96;5.78
eray comert;DF;La Liga;0.54;365.3;0.0;0.67;2.95;0.07
santi comesana;MF;La Liga;0.97;186.8;0.0;3.23;4.44;1.85
abdu conte;DF;Ligue 1;0.22;280.8;0.11;1.63;2.28;1.2
lewis cook;MF;Premier League;0.3;161.8;0.12;1.94;3.21;0.97
steve cook;DF;Premier League;0.28;236.9;0.0;0.57;1.89;0.09
liam cooper;DF;Premier League;0.73;274.1;0.0;0.98;4.23;0.24
copete;DF;La Liga;0.28;257.8;0.0;0.28;3.99;0.56
diego coppola;DF;Serie A;0.43;284.1;0.0;1.01;3.04;0.43
francis coquelin;MF;La Liga;0.76;100.1;0.0;1.14;3.29;0.76
sebastien corchia;DFMF;Ligue 1;0.34;216.2;0.17;2.24;3.1;1.03
angel correa;MFFW;La Liga;3.19;81.3;0.0;4.29;1.54;3.63
thierry correia;DF;La Liga;0.26;284.0;0.0;1.95;3.77;1.56
danny da costa;DF;Bundesliga;0.74;255.3;0.15;1.62;2.21;1.91
david pereira da costa;MFFW;Ligue 1;1.75;160.4;0.22;3.72;1.68;3.07
diego costa;FW;Premier League;2.92;14.3;0.0;1.53;0.56;0.42
jaume costa;DF;La Liga;0.49;198.4;0.06;2.07;2.07;1.1
nuno da costa;FWMF;Ligue 1;2.11;61.3;0.08;2.34;3.2;5.0
samu costa;MF;La Liga;0.71;249.5;0.0;2.05;5.04;0.71
vladimir coufal;DF;Premier League;0.35;279.2;0.0;2.31;3.99;0.56
lassana coulibaly;MF;Serie A;0.46;127.8;0.11;1.94;3.54;2.69
mathieu coutadeur;MF;Ligue 1;0.18;238.1;0.0;1.56;2.02;0.64
